lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
860	0.302098	0.146845	0.0789175	0.0855761	0.127856	0.176542	0.30266	0.318194
865	0.306107	0.15012	0.0791367	0.0844895	0.125467	0.16831	0.302865	0.335934
870	0.31187	0.153239	0.0794336	0.0835165	0.123496	0.159031	0.292928	0.343725
875	0.319021	0.156797	0.0797979	0.08264	0.12161	0.151148	0.270639	0.329294
880	0.326738	0.160832	0.080213	0.081849	0.119218	0.147535	0.25098	0.305354
885	0.334525	0.165268	0.0806643	0.0811512	0.116712	0.145421	0.243728	0.294066
890	0.342047	0.170033	0.081165	0.0805785	0.11468	0.14222	0.241217	0.292086
895	0.349054	0.175107	0.0817821	0.0801666	0.113189	0.138201	0.238266	0.291821
900	0.355362	0.180451	0.0826238	0.0798912	0.112118	0.13404	0.233727	0.289969
905	0.361145	0.185763	0.0837304	0.0796188	0.111261	0.130111	0.227387	0.285328
910	0.367773	0.191152	0.0849378	0.0791959	0.110364	0.126615	0.21954	0.277084
915	0.375216	0.197109	0.0859973	0.0786848	0.109429	0.123199	0.211934	0.26798
920	0.381936	0.203358	0.087019	0.0783912	0.108852	0.119582	0.205366	0.260695
925	0.388409	0.210306	0.088517	0.0783796	0.108649	0.116319	0.199137	0.253791
930	0.395679	0.218428	0.0904668	0.0782122	0.108434	0.113605	0.192465	0.245913
935	0.402245	0.226647	0.0921278	0.0778026	0.108171	0.110911	0.185235	0.237481
940	0.407077	0.23453	0.0938024	0.0777622	0.108211	0.108372	0.17844	0.229539
945	0.412632	0.243773	0.0963749	0.0779078	0.108305	0.106545	0.172003	0.221185
950	0.41781	0.253501	0.0988038	0.0776458	0.108137	0.104776	0.165128	0.212317
955	0.419895	0.262258	0.101087	0.0777521	0.108247	0.102982	0.158914	0.204492
960	0.421409	0.271443	0.104535	0.0780569	0.108399	0.101833	0.153084	0.196273
965	0.419904	0.277522	0.107445	0.0779573	0.108444	0.100485	0.14693	0.188183
970	0.4188	0.28218	0.110997	0.0785005	0.108981	0.0995396	0.141825	0.181074
975	0.422355	0.289636	0.11517	0.0787184	0.109136	0.0989928	0.13647	0.173339
980	0.424564	0.297302	0.118911	0.0791955	0.109405	0.098248	0.131826	0.166943
985	0.428783	0.307496	0.12417	0.0798616	0.109568	0.0980075	0.127389	0.160045
990	0.429938	0.316165	0.128542	0.0803574	0.109699	0.0973565	0.123153	0.154191
995	0.432535	0.326602	0.13477	0.0813844	0.109986	0.0972567	0.119416	0.148124
1000	0.432253	0.335185	0.140019	0.0820592	0.110163	0.0967194	0.115674	0.142905
1005	0.433447	0.345376	0.147305	0.0833789	0.11057	0.0966979	0.112421	0.137499
1010	0.431419	0.353315	0.153607	0.0843898	0.110936	0.0962708	0.10921	0.132988
1015	0.430795	0.362482	0.161984	0.0859375	0.111479	0.0963213	0.106191	0.12804
1020	0.426018	0.368292	0.169735	0.0875119	0.11224	0.0960936	0.103496	0.124116
1025	0.421516	0.37264	0.178889	0.0891907	0.11299	0.0963309	0.100589	0.119584
1030	0.415229	0.37361	0.188775	0.0915932	0.114128	0.0967383	0.0986199	0.116144
1035	0.411124	0.374468	0.198385	0.093521	0.114743	0.0971144	0.0964388	0.112804
1040	0.41077	0.37915	0.210337	0.0966396	0.115664	0.0977307	0.0948936	0.109747
1045	0.4086	0.383382	0.221462	0.0996377	0.116564	0.0979539	0.09332	0.107352
1050	0.407716	0.388678	0.233675	0.102981	0.117481	0.0984469	0.0914182	0.104401
1055	0.406228	0.393979	0.247489	0.107692	0.118994	0.099121	0.090059	0.101894
1060	0.402385	0.397068	0.260073	0.112287	0.120467	0.0996969	0.0884299	0.0995902
1065	0.399772	0.400478	0.273423	0.117797	0.122174	0.100776	0.086628	0.0967462
1070	0.396769	0.403589	0.287641	0.125178	0.124587	0.102274	0.0853023	0.0941544
1075	0.391383	0.404317	0.299598	0.133119	0.12716	0.104111	0.083939	0.0916966
1080	0.386116	0.403998	0.30929	0.142093	0.129776	0.106926	0.0827015	0.0888588
1085	0.381127	0.402909	0.316832	0.153504	0.132422	0.110709	0.0827118	0.0865787
1090	0.37434	0.39913	0.318578	0.166223	0.134123	0.114361	0.0840629	0.0857929
1095	0.367391	0.393769	0.310748	0.177517	0.134718	0.117287	0.0855582	0.0857024
1100	0.363426	0.39053	0.292715	0.184009	0.135538	0.120432	0.0868011	0.0852212
1105	0.36166	0.389968	0.266799	0.180465	0.137056	0.124695	0.0888469	0.0848026
1110	0.359362	0.38983	0.238587	0.164002	0.137885	0.129701	0.0929606	0.0858721
1115	0.355726	0.38876	0.216063	0.141542	0.135945	0.133449	0.099467	0.0897998
1120	0.351788	0.387079	0.205009	0.123949	0.131182	0.133622	0.106343	0.0961633
1125	0.348352	0.38541	0.205787	0.115702	0.126446	0.130815	0.110806	0.10233
1130	0.345079	0.383666	0.214826	0.11555	0.12395	0.127485	0.112647	0.106651
1135	0.341132	0.381229	0.227739	0.120674	0.123637	0.124961	0.113128	0.109388
1140	0.336082	0.377555	0.241248	0.128646	0.124621	0.123432	0.113147	0.111209
1145	0.330163	0.372495	0.253626	0.137915	0.126227	0.122763	0.113131	0.11256
1150	0.324158	0.366475	0.264332	0.147709	0.128135	0.122743	0.113321	0.113765
1155	0.319193	0.360708	0.2734	0.157711	0.130267	0.123085	0.113818	0.115091
1160	0.315954	0.356493	0.281013	0.167753	0.132729	0.123542	0.114517	0.116634
1165	0.313917	0.353854	0.287298	0.177629	0.135724	0.124119	0.115244	0.118269
1170	0.312101	0.351902	0.292323	0.187071	0.139321	0.124968	0.116002	0.1199
1175	0.309946	0.349922	0.296139	0.195788	0.143414	0.126153	0.116879	0.121561
1180	0.307302	0.347602	0.298823	0.203528	0.147891	0.12765	0.117915	0.123304
1185	0.304194	0.344841	0.300487	0.210118	0.152688	0.129428	0.119108	0.125147
1190	0.300675	0.341592	0.301266	0.215474	0.157772	0.131482	0.12045	0.127099
1195	0.296804	0.337805	0.30131	0.219595	0.163105	0.133819	0.121937	0.12916
1200	0.292703	0.33347	0.300755	0.222542	0.16862	0.136441	0.123564	0.131334
1205	0.288706	0.328833	0.299724	0.224418	0.174191	0.139354	0.125317	0.133624
