lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
1230	0.0103656	0.0146899	0.0216954	0.0289614	0.0288464	0.0209243	0.0173473	0.016099
1235	0.00999997	0.0142307	0.0207543	0.0275391	0.028708	0.0217889	0.0177608	0.016344
1240	0.0100034	0.0141278	0.0198916	0.0262133	0.0284385	0.0228963	0.018309	0.0166626
1245	0.0103173	0.0143097	0.0191025	0.0249838	0.02801	0.0242483	0.0190175	0.0170691
1250	0.010774	0.0145934	0.0183814	0.0238488	0.0273994	0.0257904	0.019902	0.0175753
1255	0.0110512	0.0146635	0.0177205	0.0228023	0.0265865	0.0273617	0.0209414	0.0181786
1260	0.010854	0.0142817	0.0171084	0.0218341	0.0255804	0.0287271	0.0220741	0.0188578
1265	0.0102264	0.0135447	0.0165294	0.0209282	0.0244483	0.0297445	0.0232644	0.0195992
1270	0.00947585	0.0127427	0.0159651	0.0200656	0.0232798	0.0304158	0.0245565	0.0204204
1275	0.00885288	0.012078	0.0153994	0.0192276	0.0221263	0.0307404	0.0260232	0.0213526
1280	0.0084522	0.011614	0.0148253	0.0184041	0.0210033	0.0306564	0.027713	0.0224205
1285	0.00826294	0.0113286	0.0142523	0.0176008	0.01992	0.0301037	0.0296378	0.0236449
1290	0.00819239	0.0111335	0.0137083	0.0168425	0.0188961	0.0290797	0.0317564	0.0250426
1295	0.00808106	0.0108943	0.0132313	0.0161656	0.0179603	0.0276537	0.0339302	0.0266095
1300	0.0078105	0.0105351	0.0128485	0.0155982	0.0171386	0.0259605	0.0359237	0.0283101
1305	0.00742087	0.0101126	0.0125533	0.0151356	0.0164347	0.024162	0.0374888	0.0300976
1310	0.00702933	0.00971463	0.0122952	0.0147284	0.0158132	0.0223749	0.0383844	0.0318894
1315	0.0066865	0.00935107	0.0120019	0.0143023	0.0152126	0.0206462	0.0383529	0.0335003
1320	0.00636172	0.00897436	0.0116294	0.0138078	0.0145874	0.0189989	0.0372409	0.0346598
1325	0.00600961	0.00855466	0.0112075	0.0132696	0.0139522	0.0174809	0.0351557	0.0351317
1330	0.00563769	0.00813436	0.0108304	0.0127813	0.0133806	0.0161609	0.0324457	0.0348192
1335	0.00531157	0.0077977	0.0105802	0.012429	0.0129428	0.0150797	0.0294877	0.0337437
1340	0.00506254	0.00755761	0.0104379	0.0121972	0.0126265	0.0141996	0.0265047	0.0319284
1345	0.0048231	0.00731319	0.0102834	0.0119625	0.0123267	0.0134173	0.0235852	0.0294121
1350	0.00450681	0.00696732	0.0100145	0.0116151	0.0119457	0.012654	0.0208447	0.0264261
1355	0.00413875	0.00656699	0.00967392	0.0111953	0.0115112	0.0119359	0.0184673	0.0234101
1360	0.00385119	0.00627131	0.00941586	0.0108653	0.0111603	0.0113608	0.0165693	0.0207293
1365	0.00372412	0.0061543	0.00931413	0.0107052	0.0109657	0.0109614	0.0150757	0.0184403
1370	0.00366549	0.00608826	0.00924848	0.010586	0.0108175	0.0106329	0.0137958	0.016407
1375	0.00352068	0.00590445	0.0090597	0.0103344	0.0105598	0.010252	0.012629	0.0145824
1380	0.00329723	0.00564357	0.00878747	0.00999618	0.0102277	0.00985022	0.0116511	0.0130709
1385	0.00316757	0.00550829	0.00862345	0.0097843	0.0100114	0.00957203	0.0109518	0.0119319
1390	0.00319315	0.0055364	0.00860856	0.00973659	0.00994857	0.0094354	0.0104474	0.0110479
1395	0.00319878	0.00551523	0.00855726	0.00963527	0.00984028	0.00927843	0.00995742	0.0102585
1400	0.00306052	0.00533939	0.00837171	0.00938039	0.00959204	0.00902747	0.00946424	0.00955635
1405	0.0029403	0.00521352	0.00821842	0.00918353	0.00940177	0.00883775	0.0091245	0.00904355
1410	0.00299707	0.00528162	0.0082291	0.00917912	0.00939456	0.00880851	0.00896991	0.00871835
1415	0.00306648	0.005338	0.00826014	0.00915891	0.00936701	0.008778	0.00881206	0.00843817
1420	0.00297396	0.00522744	0.00817107	0.00898362	0.00919044	0.00863806	0.00858138	0.00814477
1425	0.00290706	0.00517529	0.00809475	0.00887464	0.00909114	0.00856437	0.00847183	0.00796464
1430	0.00303145	0.00532572	0.0081797	0.00895432	0.00917388	0.00865432	0.0085457	0.0079553
1435	0.00311723	0.0054279	0.00831625	0.00899033	0.00919118	0.00871541	0.00858274	0.00795664
1440	0.0030498	0.00539262	0.00835512	0.00891396	0.00910519	0.00869582	0.00854769	0.00790846
1445	0.00311474	0.00551455	0.00841359	0.00897617	0.00918874	0.00881663	0.00870369	0.00802368
1450	0.00333069	0.00581869	0.00872229	0.00920305	0.00940077	0.00908855	0.00904701	0.00834052
1455	0.00339574	0.00601698	0.00915723	0.00936788	0.00951124	0.00931419	0.00930748	0.00859508
1460	0.00345478	0.00622244	0.00940526	0.00952318	0.00968502	0.0095806	0.00962326	0.00889521
1465	0.00376507	0.00678314	0.00994132	0.0099689	0.0101389	0.0101513	0.0103852	0.00966319
1470	0.00403873	0.00759465	0.0114363	0.0107196	0.0107315	0.0109984	0.0114374	0.0106693
1475	0.00423815	0.00850038	0.0129716	0.011492	0.0114291	0.0119869	0.0125616	0.0116973
1480	0.00481977	0.0105348	0.0154058	0.0130355	0.0128753	0.0139109	0.0150951	0.0142558
1485	0.00613074	0.0194832	0.0334936	0.0187632	0.0163766	0.0191548	0.0233235	0.022279
1490	0.0070321	0.0175258	0.019691	0.013904	0.0139641	0.0150753	0.0203546	0.0236967
1495	0.00763087	0.0197444	0.0264952	0.0176915	0.0169605	0.0186658	0.0244087	0.0275187
1500	0.00974798	0.0252985	0.0270791	0.0228004	0.0215836	0.0230963	0.0327162	0.0436253
1505	0.0114711	0.0260609	0.0157633	0.0208915	0.0252528	0.0244749	0.033057	0.0503177
1510	0.0128083	0.0248541	0.00925581	0.0144954	0.0263455	0.0228912	0.0274928	0.041698
1515	0.0142863	0.0256418	0.00750069	0.0118174	0.027922	0.022753	0.0251891	0.0369247
1520	0.0156901	0.0271528	0.00658096	0.0105262	0.0304039	0.0238844	0.0249546	0.0352216
1525	0.0173735	0.0290402	0.00595411	0.00995335	0.0336984	0.0256721	0.0257314	0.0356271
1530	0.0188875	0.0313243	0.00568563	0.00972239	0.037293	0.0277764	0.0269978	0.0368597
1535	0.019777	0.0325358	0.00523296	0.0093127	0.040079	0.0292199	0.0277108	0.0372718
1540	0.0202404	0.0329843	0.00495491	0.00909369	0.0417951	0.0298604	0.0278884	0.0372987
1545	0.0196937	0.0319596	0.0046638	0.00870596	0.0418077	0.0292934	0.0269511	0.035817
1550	0.0184535	0.0294394	0.0043072	0.00824533	0.0405148	0.0277593	0.0252676	0.0333567
1555	0.0169132	0.0264907	0.0041514	0.00794376	0.0384131	0.0257012	0.0230506	0.0301975
1560	0.0148914	0.0227822	0.00381497	0.00737587	0.0357058	0.0232358	0.0204447	0.0264236
1565	0.0131395	0.0195385	0.00365758	0.00704841	0.0331123	0.0209502	0.0181241	0.0229736
1570	0.0114138	0.0165366	0.00347095	0.00662333	0.0304911	0.0187134	0.0157448	0.019545
1575	0.00983395	0.0138654	0.00322829	0.00617675	0.0281422	0.0167617	0.0138323	0.0166969
1580	0.0086772	0.0119264	0.00317868	0.00594428	0.0260881	0.0151023	0.0121363	0.0142547
1585	0.00744376	0.0100067	0.00292325	0.00547089	0.0241676	0.0135843	0.0106434	0.0121651
1590	0.00663863	0.00873651	0.00287948	0.00528917	0.0226083	0.0124043	0.0095521	0.0105728
1595	0.00583133	0.00752664	0.00272623	0.00494256	0.0211416	0.0113033	0.00844207	0.00913443
1600	0.00516045	0.00656357	0.00259657	0.00468694	0.0199005	0.0104225	0.00769869	0.00807205
