100 nm


lambda, Y
1545, 0.354899
1550, 0.361866
1555, 0.364989
1560, 0.366798
1565, 0.367485
1570, 0.363824
1575, 0.361987
1580, 0.357456
1585, 0.352776
1590, 0.349801
1595, 0.343733
1600, 0.341373

200nm


lambda, Y
300, 0.164067
305, 0.162822
310, 0.161669
315, 0.161118
320, 0.160764
325, 0.160848
330, 0.161053
335, 0.161841
340, 0.162891
345, 0.164432
350, 0.166654
355, 0.169247
360, 0.171432
365, 0.172439
370, 0.171125
375, 0.168716
380, 0.167107
385, 0.166467
390, 0.16588
395, 0.165078
400, 0.166669
405, 0.16848
410, 0.168839
415, 0.168386
420, 0.168249
425, 0.175577
430, 0.182861
435, 0.185786
440, 0.18492
445, 0.181253
450, 0.176819
455, 0.173597
460, 0.172316
465, 0.172663
470, 0.17359
475, 0.17491
480, 0.177609
485, 0.180261
490, 0.182156
495, 0.182028
500, 0.17891
505, 0.172358
510, 0.164875
515, 0.161663
520, 0.159649
525, 0.157169
530, 0.154335
535, 0.152322
540, 0.150903
545, 0.149641
550, 0.148175
555, 0.146316
560, 0.144216
565, 0.142301
570, 0.140235
575, 0.13804
580, 0.136301
585, 0.134679
590, 0.133043
595, 0.131723
600, 0.130542
605, 0.129498
610, 0.128752
615, 0.128478
620, 0.128659
625, 0.128789
630, 0.128458
635, 0.128085
640, 0.127887
645, 0.128065
650, 0.128801
655, 0.129831
660, 0.131727
665, 0.134436
670, 0.137558
675, 0.139827
680, 0.139015
685, 0.133643
690, 0.125622
695, 0.118144
700, 0.11254
705, 0.108649
710, 0.10594
715, 0.103948
720, 0.102325
725, 0.100832
730, 0.0993763
735, 0.0982388
740, 0.0975798
745, 0.096981
750, 0.0969005
755, 0.0968634
760, 0.0963598
765, 0.0964944
770, 0.0957233
775, 0.0954562
780, 0.0938507
785, 0.0912807
790, 0.0856657
795, 0.081383
800, 0.0785081
805, 0.0777285
810, 0.0794851
815, 0.0805505
820, 0.0804141
825, 0.0797642
830, 0.0791843
835, 0.0788629
840, 0.0787312
845, 0.078692
850, 0.078706
855, 0.0787768
860, 0.0789175
865, 0.0791367
870, 0.0794336
875, 0.0797979
880, 0.080213
885, 0.0806643
890, 0.081165
895, 0.0817821
900, 0.0826238
905, 0.0837304
910, 0.0849378
915, 0.0859973
920, 0.087019
925, 0.088517
930, 0.0904668
935, 0.0921278
940, 0.0938024
945, 0.0963749
950, 0.0988038
955, 0.101087
960, 0.104535
965, 0.107445
970, 0.110997
975, 0.11517
980, 0.118911
985, 0.12417
990, 0.128542
995, 0.13477
1000, 0.140019
1005, 0.147305
1010, 0.153607
1015, 0.161984
1020, 0.169735
1025, 0.178889
1030, 0.188775
1035, 0.198385
1040, 0.210337
1045, 0.221462
1050, 0.233675
1055, 0.247489
1060, 0.260073
1065, 0.273423
1070, 0.287641
1075, 0.299598
1080, 0.30929
1085, 0.316832
1090, 0.318578
1095, 0.310748
1100, 0.292715
1105, 0.266799
1110, 0.238587
1115, 0.216063
1120, 0.205009
1125, 0.205787
1130, 0.214826
1135, 0.227739
1140, 0.241248
1145, 0.253626
1150, 0.264332
1155, 0.2734
1160, 0.281013
1165, 0.287298
1170, 0.292323
1175, 0.296139
1180, 0.298823
1185, 0.300487
1190, 0.301266
1195, 0.30131
1200, 0.300755
1205, 0.299724
1210, 0.298325
1215, 0.296644
1220, 0.294748
1225, 0.292693
1230, 0.290527
1235, 0.288278
1240, 0.285966
1245, 0.2836
