100 nm


lambda, Y
1105, 0.123874
1110, 0.133897
1115, 0.134849
1120, 0.127834
1125, 0.116246
1130, 0.103306
1135, 0.0910068
1140, 0.0802487
1145, 0.0712384
1150, 0.0638213
1155, 0.0576988
1160, 0.0525684
1165, 0.0481904
1170, 0.0443983
1175, 0.0410822
1180, 0.0381673
1185, 0.0355961
1190, 0.0333201
1195, 0.031297
1200, 0.029489
1205, 0.0278638
1210, 0.0263944
1215, 0.0250585
1220, 0.0238386
1225, 0.0227209
1230, 0.0216954
1235, 0.0207543
1240, 0.0198916
1245, 0.0191025
1250, 0.0183814
1255, 0.0177205
1260, 0.0171084
1265, 0.0165294
1270, 0.0159651
1275, 0.0153994
1280, 0.0148253
1285, 0.0142523
1290, 0.0137083
1295, 0.0132313
1300, 0.0128485
1305, 0.0125533
1310, 0.0122952
1315, 0.0120019
1320, 0.0116294
1325, 0.0112075
1330, 0.0108304
1335, 0.0105802
1340, 0.0104379
1345, 0.0102834
1350, 0.0100145
1355, 0.00967392
1360, 0.00941586
1365, 0.00931413
1370, 0.00924848
1375, 0.0090597
1380, 0.00878747
1385, 0.00862345
1390, 0.00860856
1395, 0.00855726
1400, 0.00837171
1405, 0.00821842
1410, 0.0082291
1415, 0.00826014
1420, 0.00817107
1425, 0.00809475
1430, 0.0081797
1435, 0.00831625
1440, 0.00835512
1445, 0.00841359
1450, 0.00872229
1455, 0.00915723
1460, 0.00940526
1465, 0.00994132
1470, 0.0114363
1475, 0.0129716
1480, 0.0154058
1485, 0.0334936
1490, 0.019691
1495, 0.0264952
1500, 0.0270791
1505, 0.0157633
1510, 0.00925581
1515, 0.00750069
1520, 0.00658096
1525, 0.00595411
1530, 0.00568563
1535, 0.00523296
1540, 0.00495491
1545, 0.0046638
1550, 0.0043072
1555, 0.0041514
1560, 0.00381497
1565, 0.00365758
1570, 0.00347095
1575, 0.00322829
1580, 0.00317868
1585, 0.00292325
1590, 0.00287948
1595, 0.00272623
1600, 0.00259657

250 nm


lambda, Y
300, 0.15925
305, 0.159284
310, 0.161828
315, 0.161444
320, 0.166527
325, 0.167022
330, 0.172091
335, 0.177887
340, 0.182931
345, 0.184929
350, 0.189704
355, 0.191513
360, 0.194597
365, 0.200037
370, 0.210133
375, 0.22093
380, 0.229762
385, 0.233454
390, 0.237166
395, 0.245061
400, 0.244535
405, 0.232568
410, 0.222221
415, 0.2193
420, 0.223991
425, 0.221165
430, 0.204788
435, 0.199539
440, 0.191925
445, 0.189034
450, 0.191799
455, 0.199516
460, 0.210254
465, 0.222078
470, 0.232474
475, 0.23849
480, 0.239153
485, 0.235434
490, 0.229261
495, 0.224389
500, 0.223644
505, 0.22999
510, 0.244024
515, 0.243987
520, 0.221309
525, 0.208648
530, 0.204088
535, 0.201404
540, 0.196912
545, 0.18892
550, 0.177904
555, 0.165658
560, 0.153766
565, 0.14259
570, 0.13253
575, 0.124202
580, 0.117632
585, 0.112465
590, 0.108307
595, 0.104873
600, 0.102032
605, 0.0996471
610, 0.0976747
615, 0.0960678
620, 0.0947756
625, 0.0938999
630, 0.0936517
635, 0.0936952
640, 0.0937992
645, 0.0950944
650, 0.096439
655, 0.0990083
660, 0.101996
665, 0.106887
670, 0.112365
675, 0.117662
680, 0.119865
685, 0.116875
690, 0.11503
695, 0.118524
700, 0.118874
705, 0.109541
710, 0.0967131
715, 0.0865019
720, 0.0799065
725, 0.0760521
730, 0.0731783
735, 0.0685461
740, 0.0642517
745, 0.0622151
750, 0.0612821
755, 0.0608391
760, 0.0606976
765, 0.0605946
770, 0.0606493
775, 0.0604338
780, 0.0596497
785, 0.0538574
790, 0.042455
795, 0.0357077
800, 0.0327014
805, 0.0332545
810, 0.0338874
815, 0.0323985
820, 0.0303456
825, 0.0285066
830, 0.0269197
835, 0.0255261
840, 0.0243037
845, 0.0232402
850, 0.0223139
855, 0.021498
860, 0.0207686
865, 0.0201081
870, 0.0195061
