lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
990	0.0812497	0.0712868	0.0377423	0.0213538	0.0120597	0.0119674	0.0135672	0.0150797
995	0.0813928	0.0728939	0.0396272	0.022061	0.0122603	0.012085	0.0134894	0.0148802
1000	0.0815909	0.0746925	0.0414397	0.02271	0.0125232	0.0122714	0.0134513	0.0147239
1005	0.0824133	0.0771904	0.0435883	0.0235507	0.0128742	0.0125295	0.0134958	0.0146398
1010	0.0833682	0.0800122	0.0456512	0.0243433	0.0133359	0.0128776	0.0136215	0.0146333
1015	0.0852767	0.0839309	0.0481061	0.0253415	0.013976	0.0134092	0.0138926	0.0147456
1020	0.0875335	0.0884152	0.0504735	0.026339	0.0148365	0.0141325	0.0143242	0.0150013
1025	0.0901362	0.0929338	0.0532205	0.0275096	0.0158344	0.01495	0.0148367	0.0153122
1030	0.0905132	0.0942887	0.0560353	0.0288185	0.0165	0.0154603	0.0150929	0.015422
1035	0.0878307	0.0916704	0.059012	0.0302004	0.0165159	0.0153907	0.0148908	0.0151679
1040	0.0843144	0.0882402	0.062396	0.0319125	0.0163111	0.0151481	0.0145926	0.0148515
1045	0.0812349	0.0855773	0.0657461	0.0337108	0.0162826	0.0150888	0.0144442	0.0146818
1050	0.0793436	0.0842362	0.0695333	0.0358414	0.0165289	0.0152818	0.014506	0.0146857
1055	0.0781216	0.0837077	0.0736658	0.0384084	0.0170379	0.0157137	0.0147931	0.0148874
1060	0.0771656	0.0834954	0.0778792	0.0412696	0.0178159	0.0164197	0.0153015	0.0152872
1065	0.0768362	0.0838762	0.0826641	0.044804	0.0189369	0.0174874	0.0161161	0.015941
1070	0.0768894	0.0847121	0.0879706	0.0492297	0.0205215	0.0190473	0.0173817	0.0169829
1075	0.0771777	0.0858547	0.0935215	0.0545903	0.0227469	0.0213257	0.0192735	0.0185624
1080	0.0781525	0.0876746	0.0996507	0.0614515	0.025754	0.024495	0.0219549	0.0207997
1085	0.0797668	0.0900637	0.106478	0.0705489	0.0292063	0.0281614	0.0251437	0.0234535
1090	0.0810443	0.0917243	0.113451	0.0823432	0.0318948	0.0310001	0.0276642	0.0255487
1095	0.0806571	0.0909237	0.119843	0.0970367	0.0330864	0.0322994	0.0287921	0.0264791
1100	0.0784039	0.0877745	0.124692	0.113509	0.0339036	0.0333402	0.0296337	0.0271498
1105	0.0755439	0.0841513	0.126471	0.127034	0.0356033	0.0354713	0.0314548	0.0286067
1110	0.0730105	0.0811523	0.1239	0.130416	0.0381357	0.038509	0.0342141	0.0308179
1115	0.07104	0.0789062	0.117382	0.121975	0.0399834	0.0404166	0.0361711	0.0323747
1120	0.0696802	0.0773485	0.108968	0.10816	0.0393194	0.0390206	0.0351222	0.0314966
1125	0.0689043	0.076416	0.100776	0.0954697	0.0364682	0.0350776	0.0314685	0.0284571
1130	0.0686053	0.0760183	0.0938743	0.0862037	0.0333246	0.0309458	0.027453	0.0250717
1135	0.0686902	0.0760757	0.0883732	0.0801035	0.0310157	0.0278284	0.0243236	0.0224045
1140	0.0691446	0.0765457	0.0839851	0.076251	0.0296979	0.0258262	0.0222049	0.0205829
1145	0.0699201	0.077276	0.0803962	0.0738319	0.029196	0.024694	0.0208745	0.0194263
