100 nm


lambda, Y
1340, 0.0364979
1345, 0.0360774
1350, 0.0355649
1355, 0.0351949
1360, 0.0350837
1365, 0.0350327
1370, 0.0347327
1375, 0.0342125
1380, 0.0338745
1385, 0.033909
1390, 0.0339069
1395, 0.0334639
1400, 0.0329449
1405, 0.032939
1410, 0.0331085
1415, 0.0326901
1420, 0.032054
1425, 0.0321269
1430, 0.0323711
1435, 0.0317249
1440, 0.0310761
1445, 0.0315095
1450, 0.0315655
1455, 0.0304268
1460, 0.0303496
1465, 0.0315078
1470, 0.0309441
1475, 0.0300215
1480, 0.0348064
1485, 0.0877932
1490, 0.133547
1495, 0.126091
1500, 0.214983
1505, 0.186684
1510, 0.141468
1515, 0.126622
1520, 0.116324
1525, 0.10906
1530, 0.108345
1535, 0.103971
1540, 0.101571
1545, 0.100567
1550, 0.0965657
1555, 0.0955973
1560, 0.093107
1565, 0.0904861
1570, 0.089626
1575, 0.0866689
1580, 0.085758
1585, 0.0839175
1590, 0.082182
1595, 0.0814718
1600, 0.0794078

250 nm


lambda, Y
300, 0.340292
305, 0.33308
310, 0.327447
315, 0.323299
320, 0.32066
325, 0.31928
330, 0.318987
335, 0.319439
340, 0.320489
345, 0.321987
350, 0.323871
355, 0.326427
360, 0.329863
365, 0.333534
370, 0.336042
375, 0.336603
380, 0.335505
385, 0.335154
390, 0.332969
395, 0.325658
400, 0.32462
405, 0.331656
410, 0.33498
415, 0.329923
420, 0.319168
425, 0.321749
430, 0.327159
435, 0.3304
440, 0.336043
445, 0.33896
450, 0.335653
455, 0.326609
460, 0.311145
465, 0.28883
470, 0.260892
475, 0.231692
480, 0.207017
485, 0.19102
490, 0.183861
495, 0.182598
500, 0.183953
505, 0.184832
510, 0.178956
515, 0.16234
520, 0.156227
525, 0.158176
530, 0.158704
535, 0.155883
540, 0.149261
545, 0.139152
550, 0.126817
555, 0.11395
560, 0.101878
565, 0.0911556
570, 0.0813315
575, 0.0719659
580, 0.0640444
585, 0.057346
590, 0.0515686
595, 0.0464912
600, 0.0421429
605, 0.0386109
610, 0.035797
615, 0.0335561
620, 0.0318394
625, 0.0306522
630, 0.0298876
635, 0.0294138
640, 0.0293108
645, 0.0297314
650, 0.0307896
655, 0.0323675
660, 0.0351483
665, 0.0403175
670, 0.0494318
675, 0.063633
680, 0.0803912
685, 0.0890716
690, 0.0823837
695, 0.0670256
700, 0.050947
705, 0.0388242
710, 0.0319028
715, 0.028803
720, 0.0284394
725, 0.0310147
730, 0.0365978
735, 0.0379633
740, 0.031799
745, 0.026736
750, 0.0241432
755, 0.0229313
760, 0.0224703
765, 0.0226704
770, 0.0233224
775, 0.024787
780, 0.0272982
785, 0.0316722
790, 0.0336372
795, 0.0364573
800, 0.0414027
805, 0.043298
810, 0.0364564
815, 0.0287814
820, 0.0240797
825, 0.0213548
830, 0.0196782
835, 0.0185819
840, 0.017822
845, 0.0172652
850, 0.0168407
855, 0.0165111
860, 0.0162558
865, 0.0160615
870, 0.0159184
875, 0.0158184
880, 0.0157547
885, 0.0157228
890, 0.0157233
895, 0.0157619
900, 0.0158436
905, 0.0159604
910, 0.0160869
915, 0.0162058
920, 0.016345
925, 0.0165461
930, 0.0167773
935, 0.0169784
940, 0.0172098
945, 0.0175214
950, 0.0178042
955, 0.0181057
960, 0.0185044
965, 0.0188526
970, 0.0192874
975, 0.0197573
980, 0.0202234
985, 0.020814
990, 0.0213538
995, 0.022061
1000, 0.02271
1005, 0.0235507
1010, 0.0243433
1015, 0.0253415
1020, 0.026339
1025, 0.0275096
1030, 0.0288185
1035, 0.0302004
1040, 0.0319125
1045, 0.0337108
1050, 0.0358414
1055, 0.0384084
1060, 0.0412696
1065, 0.044804
1070, 0.0492297
1075, 0.0545903
1080, 0.0614515
1085, 0.0705489
1090, 0.0823432
1095, 0.0970367
1100, 0.113509
1105, 0.127034
1110, 0.130416
1115, 0.121975
1120, 0.10816
1125, 0.0954697
1130, 0.0862037
1135, 0.0801035
1140, 0.076251
1145, 0.0738319
1150, 0.0722801
1155, 0.071221
1160, 0.0703975
1165, 0.0696202
1170, 0.06875
1175, 0.0676926
1180, 0.0663974
1185, 0.0648528
1190, 0.0630765
1195, 0.0611074
1200, 0.0589953
1205, 0.0567932
1210, 0.0545523
1215, 0.0523165
1220, 0.0501231
1225, 0.0480003
1230, 0.0459681
1235, 0.0440394
1240, 0.0422208
1245, 0.0405137
1250, 0.0389175
1255, 0.0374299
1260, 0.0360489
1265, 0.0347751
1270, 0.0336113
1275, 0.0325608
1280, 0.0316244
1285, 0.0307938
1290, 0.0300493
1295, 0.0293602
1300, 0.0286953
1305, 0.0280376
1310, 0.0273998
1315, 0.0268211
1320, 0.0263406
1325, 0.0259612
1330, 0.0256305
1335, 0.0252732
1340, 0.0248593
1345, 0.0244462
1350, 0.0241286
1355, 0.0239256
1360, 0.0237369
1365, 0.023453
1370, 0.0231091
1375, 0.0228568
1380, 0.0227401
1385, 0.0226018
1390, 0.0223201
1395, 0.0220318
1400, 0.021912
1405, 0.0218378
1410, 0.0215911
1415, 0.0213003
1420, 0.0212055
1425, 0.0211362
1430, 0.0208544
1435, 0.0206109
1440, 0.0205884
1445, 0.0204415
1450, 0.0201612
1455, 0.0201447
1460, 0.0201665
1465, 0.0201016
1470, 0.0205518
1475, 0.0212769
1480, 0.0233345
1485, 0.0380575
1490, 0.0416225
1495, 0.0411433
1500, 0.0781106
1505, 0.10422
1510, 0.0923749
1515, 0.0844359
1520, 0.0789306
1525, 0.0779547
1530, 0.0803671
1535, 0.0814764
1540, 0.0845022
1545, 0.0867128
1550, 0.087714
1555, 0.0896557
1560, 0.089483
1565, 0.0899198
1570, 0.0897696
1575, 0.0887781
1580, 0.0887211
1585, 0.0872682
1590, 0.0868194
1595, 0.0857121
1600, 0.0846716

300 nm


lambda, Y
300, 0.260255
305, 0.253315
310, 0.247614
315, 0.242951
320, 0.239257
325, 0.236206
330, 0.2337
335, 0.231487
340, 0.229478
345, 0.227594
350, 0.225868
355, 0.224437
360, 0.223606
365, 0.223598
370, 0.224339
375, 0.22524
380, 0.225802
385, 0.226448
390, 0.227796
395, 0.226063
400, 0.223241
405, 0.225956
